Little Thieves,Margaret Owen,
The Witch and the Vampire,Francesca Flores,
The Cruicble,Arthur Miller,
The Kite Runner,Haled Hosseini,
Painted Devils,Margaret Owen,
The Manticore,Robertson Davies,
"Woman, Eating",Claire Kohda,
Flowerheart,Catherine Bakewell,
A shiver of snow and sky,Lisa Luddecke,
The Dragonriders of Pern,Anne McCaffery,
Beowulf,Seamus Heaney,
Birdwing,Rafe Martin,
Juniper & Thorn,Ava Reid,
A Court of Mist and Fury,Sarah J. Maas,
The Screaming Staircase,Jonathan Stroud,
Nocturna,Maya Motayne,
The Secret Garden,Frances Hodgson Burnett,
From the Mixed-up Files of Mrs. Basil E. Frankweiler,El Konigsburg,
Minecraft Essential Handbook,Mojang,
The Extroidanary adventures of Alfred Kropp ,Rick Yancey,
Grendel,John Gardner,
The merhcant of Death,D. J. MacHale,
Twilight,Stephenie Meyer,
We set the dark on fire,Tehlor Kay Mejia,
The Mermaid Chair,Sue Monk Kid,
House of Salt and Sorrows,Erin A Craig,
Everworld Entertain the Endd,K. A. Applegate,
Dealing with Dragons,Patricia L Wrede,
The Kite Rider,Geraldine McCaughrean,
Wilder Girls,Rory Power,
The Ice Cream Queen of Orchard Street,Susan Jane Gilman,
The Lost Children,Carolyn Cohagan,
The Crowfield Curse,Pat Walsh,
The Selection,Kiera Cass,
The Seventh Tower Aenir,Garth Nix,
Colman,Monica Furlong,
The Jungle,Upton Sinclair,
Shades of Simon Gray,Joyce McDonald,
The Princess Bride,William Goldman,
The Mists of Avalon,Marion Zimmer Bradley,
Fly By Night,Frances Hardinge,
InuYasha ,Rumiko Takahashi,
BUNGO Stray Dogs,Kafka Asagiri,
Crescendo,Becca Fitzpatrick,
Finale,Becca Fitzpatrick,
Unnatural Magic,C. M. Waggoner,
AMOS FORTUNE free man,Elizabeth Yates,
Crossroads of Twilight,Robert Jordan,
Into The Lions Den,Linda Fairstein,
Ironside,Holly Black,
Deep Blue,Jennifer Donnelly,
Woven in Moonlight,Isabel Ibanez,
Pax,Sara Pennypacker,
Chasing Pacquiao,Rod Pulido,
Chopsticks,Jessica Anthony,
Queer,William S. Burroughs,
What If it's us,Becky Albertalli,
The First Rule of punk,Celia C. Perez,
May the Best man win,Zr Ellor,
Carrying A load of Feathers,Bill McBride,
All boys aren't blue,George M. Johnson,
Blankets ,Craig Thompson,
The Amazing Adventures of Kavalier & Clay,Micheal Chabon,
Bloom,Panetta Ganucheau,
If this gets out,Sophie Gonzales,
Becoming A Queen,Dan Clay,
I was Born for This,Alice Oseman,
Camp,L. C. Rosen,
Lion's Legacy,L. C. Rosen,
Friday I'm in Love,Camryn Garret,
Clap when you land,Elizabeth Acevdeo,
The boy next door,Meg Cabot,
This one Summer,Jillian Tamaki,
Simon vs THe homosapiens agenda,Becky Albertalli,
Ander & Santi Were Here,Jonnu Garza villa,
This Book is Gay,Juno Dawson,
Cemetery Boys,Aiden Thomas,
Kira kira,Cynthia kadohata,
kira kira,Cynthia kadohata,
Man Crazy,Joyce Carol Oates,
Moxie,Jennifer Mathieu,
Piecing Me together,Renne Watson,
Operation Yes,Sara Lewis Holmes,
Paint the Wind,Pam Munoz Ryan,
Persepolis 2,Marjane Satrapi,
Schooled,gordan korman,
Schooled ,Paul Langan,
Secrets in the Shadows,Anne Schraff,
Shooting The moon,Frances O'roark dowell,
Guts,Raina Telgemeler,
Sisters,Raina Telgemeler,
Sisters,Raina Telgemeler,
So Sad TOday,Melissa Broder,
Speak,Laurie Halse anderson,
Staying fat for Sarah Byrnes,Chris Crutcher,
Chameleon in a Candy Store ,Anonymous,
Diary of an Oxygen Thief,Anonymous,
Imposter,Patricia Park,
Tangerine,Edward Bloor,
Tangerine,Edward Bloor,
Taste of Salt,Frances Temple,
Teen Angst? Naaah...,Ned VIzzini,
Tokyo Ever AFter,Emiko Jean,
Tokyo Dreaming,Emiko Jean,
The absolutely True diary of a part-time Indian,Sherman Alexie,
The book of One hundred truths,Julie Schumacher,
The Cannibals ,Ian Lawrence,
THe Chocolate War,Robert Cormier,
THe 57 Bus,Dashka Slater,
The First Rule of punk,Celia C. Perez,
The God of Small Things,Arundhar Roy,
The House on Mango Street,Sandra Cisneros,
The House on Mango Street,Sandra Cisneros,
The House of the Scorpion,Nancy Farmer,
The Lord of Opium,Nancy Farmer,
The Lost,Natasha Preston,
The Land,Mildred D. Taylor,
The Complete Stories of Truman Capote,Reynolds Price,
Great American Short Stories From Hawthorne to Hemmingway,,
Ficciones,Jorge Luis Borges,
The Borzoi Anthology of Latin American Literature,Emir Rodriguez Monegal,
Highway 99,yogi,
Winesburg Ohio,Sherwood Anderson,
Interpreter of Maladies,Thumpa Lahini,
The Lottery,Shirley Jackson,
Ficciones,Jorge Luis Borges,
The Norton Anthology of American Literature,Baym Gottesman,
Nine Stories,J.D.Salinger,
The French Lieutenants Woman,John Fowels,
Earthlings,Sayaka Murata,
A Man called One,Fredrik Backman,
Mexican Gothic,Silvia Moreno-Garcia,
No country for Old men,Cormac McCarthy,
Half-Blown Rose,Leesa Cross-Smith,
Love,Toni Morrison,
Sula,Toni Morrison,
Song of Solomon,Toni Morrison,
Norwegian Wood,Haruki Murakami,
1Q84,Haruki Murakami,
Sea Change,Gina Chung,
Kafka On the Shore,Haruki Murakami,
Ella Minnow Pea,Mark Dunn,
Hard-Boiled Wonderland and the end of the world,Haruki Murakami,
Love in the time of serial killers,Alica Thompson,
The Sympathize,Viet Thanh Nguyen,
The Hummingbird,Sandro Veronesi,
Killing Commendatore,Haruki Murakami,
Discover Your True North,Bill George,
The 48 laws of Power,Robert Greene,
The intelligent Investor,Benjamin Graham,
Math Girls,Hiroshi Yuki,
Tubes,Andrew Blum,
Getting Started with Processing,Reas & Fry,
The Gene,Siddhartha Mukherjee,
Love & Math,Edward Frenkel,
Eat A Peach,David Chang,
In Defense of Food,Michael Pollan,
An Edible History of Humanity,Tom Standage,
Shakespeare left and Right,Ivo Kamps,
Thereby Hangs A Tale,Charles Earle Funk,
The Late Home Comer,Kao Kalia Yang,
Into the Wild,Jon Krakauer,
Walden Civil Disobedience and other writings,Henry D. Thoreau,
What if? 2,Randall Munroe,
What If? ,Randall Munroe,
THe Blind Side,Michael Lewis,
Angel on the square,Gloria Whelan,
Reefer MAdness Eric Schlosser,,
All in the family!,Franklin Watts,
What A Beast!,Franklin Watts,
Chasing Lincoln's Killer,James L. Swanson,
Enrique's Journey,Sonia Nazario,
Into the Wild,Jon Krakauer,
Food Rules,Micheal Pollen,
Hiroshima,John Heresy,
Humans Of New York,Brandon Stanton,
Rats,Robert Sullivan,
Essential Writings,Ralph Waldo Emerson,
The Hero With A Thousand Faces,Joseph Campbell,
A prayer for Owen Meany,John Irving,
The House on Mango Street,Sandra Cisneros,
Fathers and Sons,Ivan Turgenev,
Metamorphosis,Kafka / Bernofsky,
A thousand Acres,Jane Smiley,
Bee Season,Myla Goldberg,
Go Set A Watchman,Harper Lee,
Hope and Other Dangerous Pursuits,Laila Lalami,
A Seperate Peace,John Knowles,
The Call of the Wind,Jack London,
The Wedding,Dorothy West,
The Reader,Bernhard Schlink,
Pygmalion,Geogre Bernard Shaw,
The Woman Warrior,Maxine Hong Kingston,
The Chosen,Chaim Potok,
World Without End,Ken Follett,
A coulumn of Fire,Ken Follett,
Julian Barnes,Arthur & George,
Coming of Age in Mississippi,Anne Moody,
The great Gatsby,F. Scott Fitzgerald,
The Jungle,Upton Sinclair,
The favored Child,Philippa Gregory,
Wideacre,Philippa Gregory,
Meridon,Philippa Gregory,
THe complete short stories of mark twain,Mark twain,
THe adventures of Tom Sawyer,Mark twain,
THe adventures of Tom Sawyer,Mark twain,
THe adventures of Tom Sawyer,Mark twain,
The Adventures of Huckleberry Finn,Mark twain,
The adventures of Tom Sawyer and Huckleberry finn,Mark twain,
Journey to Munich,Jacqueline Winspear,
Paradise,Toni Morrison,
Code Talker,Joseph Bruchac,
The Last of the Mohicans,James Fenimore Cooper,
The Declaration,Gemma Malley,
THe Shadow Thieves,Anne Ursu,
The Jungle,Upton Sinclair,
Icelandic Folktales & Legends,Jacqueline Simpson,
Beautiful Disaster,Jamie McGUire,
Lawn Boy,Gary Paulsen,
THe Purple Emperor,Herbie Brennan,
The Fire Within,Chris D'Lacey,
The Clockwork THree,Mathew J. Kirby,
Leven THumps and the Gateway to Foo,Obert Skye,
The Girl with the Iron Touch,Kady Cross,
Among the Barons,Marget Peterson Haddix,
Castle in the Air,Diana Wyne Jones,
Fairest,Gail Carson Levine,
Scarlet,Marrisa Meyer,
The Empress of Salt and Fortune,Nghi Vo,
All the Stars and Teeth,Adalyn Grace,
The Wide-Awake Princess ,E.D. Baker,
Princess Nevermore,Dian Curtis Regan,
Enemy Women,Paulette Jiles,
"Fearless Girls, Wise Women & Beloved Sisters",Kathleen Ragan,
Tne mysterious bendeict society and the perilous journey,Trenton Lee Stewart,
Dark Metropolis,Jaclyn Dolamore,
The Name of this book is Secret,psuedononymous Bosch,
Iron Widow ,Kiran J. Zhao,
Bad Unicorn,Platte F. Clark,
Sapphique,Catherine Fisher,
Dragon Rider,Cornelia Funk,
The Marvels,Brian Selznick,
Wonder Struck,Brian Selznick,
The Lost City of Faar,D.J. McHale,
The Never War,D.J. McHale,
The End,Lemony Snickett,
The Grim Grotto,Lemony Snickett,
The Slippery Slope,Lemony Snickett,
The Carnivorous Carnival,Lemony Snickett,
THe Hostile Hospital ,Lemony Snickett,
The Vile Village,Lemony Snickett,?
The Ersatz Elevator,Lemony Snickett,
The Ersatz Elevator,Lemony Snickett,
The Austere Academy,Lemony Snickett,?
The Miserable Mill,Lemony Snickett,
The Wide Window,Lemony Snickett,
The Riddle,Alison Croggon,
The Naming,Alison Croggon,
A Wrinkle in Time,Madeleine L'Engle,
The Midnight Star,Marie Lu,
We Set the Dark on Fire,Tehlor Kay Mejia,
We Set the Dark on Fire,Tehlor Kay Mejia,
Tales from the Perilous Realm,J.R.R Tolkien,
The Legend of Sigurd & Gudrun,J.R.R Tolkien,
The Children of Hurin,J.R.R Tolkien,
The Fellowship of the Ring,J.R.R Tolkien,
Return of the King,J.R.R Tolkien,
Brisingr,Christopher Paolini,
Eldest,Christopher Paolini,
The fellowship of the Ring,J.R.R Tolkien,
An Acceptable Time,Madeleine L'Engle,
A wrinkle in Time,Madeleine L'Engle,
A Swiftly Tilting Planet,Madeleine L'Engle,
Persepolis ,Marjane Satrapi,
The Zookeeper's Wife,Diane Ackerman,
Cavedweller,Dorothy Allison,
The Invention of Wings ,Sue Monk KIdd,
THe Sealed Letter,Emma Donoghue,
Sarah's Key,Tatiana de Rosnay,
Tell the Wolves I'm Home,Carol Rifka Brunt,
Hattie Big Sky,Kirby Larson,
The Invention of Wings ,Sue Monk KIdd,
The Librarian of Auschwitz,Antonio Iturbe,
Music for Torching ,A.M. Homes,
Shabanu: Daughter of the Wind,Borozi Sprinters,
Good Faith,Jane Smiley,
My Antonia,Wila Cather,
Sparrow,Sherlli S Smith,
Their Eyes Were watching God,Zora Neale Hurston,
Their Eyes Were watching God,Zora Neale Hurston,
Their Eyes Were watching God,Zora Neale Hurston,
Their Eyes Were watching God,Zora Neale Hurston,
Their Eyes Were watching God,Zora Neale Hurston,
Their Eyes Were watching God,Zora Neale Hurston,
Native Son,Richard Wright,
I know Why the Caged Bird Sings,Maya Angelou,
I know Why the Caged Bird Sings,Maya Angelou,
A Raisin in the Sun ,Lorraine Hansberry,
Things Fall Apart,Chinua Achebe,
Invisible Man,Ralph Ellison,
Jamaica Kincaid,Annie John,
Heart of Darkness,Joseph Conrad,
Sula,Toni Morrison,
Uncle Tom's Cabin,Harriet Beecher Stowe,
The Collected Stories of Eudora Welty,Eudora Welty,
Harry Potter and the Sorcer's Stone,J.K Rowling,
Harry Potter and the chamber of Secrets,J.K Rowling,
Harry Potter and the Prisoner of Azkaban,J.K Rowling,
Harry Potter and the Sorcer's Stone,J.K Rowling,
Harry Potter and the Chamber of Secrets,J.K Rowling,
Harry Potter and The Goblet of Fire,J.K Rowling,
Harry Potter and the Order of the Phoenix,J.K Rowling,
Harry Potter and the Half-Blood Prince,J.K Rowling,
Harry Potter and the Deathly Hallows,J.K Rowling,
Harry Potter and the chamber of Secrets,J.K Rowling,
Midnight for Charlie Bone,Jenny Nimmo,
Midnight for Charlie Bone,Jenny Nimmo,
Midnight for Charlie Bone,Jenny Nimmo,
Charlie Bone and the Time Twister,Jenny Nimmo,
Charlie Bone and the Time Twister,Jenny Nimmo,
Cress,Marrisa Meyer,
Cress,Marrisa Meyer,
Winter,Marrisa Meyer,
Winter,Marrisa Meyer,
Stars Above,Marrisa Meyer,
Stars Above ,Marrisa Meyer,
Fairest,Marrisa Meyer,
Fairest,Marrisa Meyer,
Scarlet,Marrisa Meyer,
Cinder,Marrisa Meyer,
Cinder,Marrisa Meyer,
THe Edge on the Sword,Rebecca Tingle,
Superior Saturday ,Garth Nix,
Grim Tuesday,Garth Nix,
Mister Monday,Garth Nix,
Drowned Wednsday,Garth Nix,
Sir Thursday,Garth Nix,
The Fall,Garth Nix,
Above the Veil,Garth Nix,
Into Battle,Garth Nix,
The Violet Keystone,Garth Nix,
Castle,Garth Nix,
Across the Wall,Garth Nix,
Abhorsen,Garth Nix,
Sabriel,Garth Nix,
Sabriel,Garth Nix,
Anansi Boys,Neil Gaiman,
Stardust,Neil Gaiman,
Ptolemy's Gate,Jonathan Stroud,
The Golem's Eye,Jonathan Stroud,
Inkheart,Cornelia Funke,
Inkspell,Cornelia Funke,
Inkdeath,Cornelia Funke,
The Toll,Neal Shusterman,
Thanos Titan Consumed,Barry Lyga,
Stories and Poems for Extremely Intelligent Children of All Ages,Harold Bloom,
Door in the Mountain,Jean Valentine,
The Poetry of Pablo Neruda,Pablo Neruda,
100 Poems To Break your Heart,Edward Hirsch,
Facing Unpleasant Facts,George Orwell,
Proofs & Theories,Louise Gluck,
The Country Between Us,Carolyn Forche,
Make Lemonade,Virginia Euwer Wolff,
THe Lost Spells,Robert MacFarlane,
THe Rose That Blooms in the Night,Allie Michelle,
The sun and her flowers,Rupi Kaur,
The sun and her flowers,Rupi Kaur,
The sun and her flowers,Rupi Kaur,
The Princess saves herself in this one,Amanda Lovelace,
The Princess saves herself in this one,Amanda Lovelace,
Inward,Yung Pueblo,
Clarity & Connection,Yung Pueblo,
All Dogs Are Good,Courtney Peppernell,
The Hurting Kind,Ada Limon,
American melancholy,Joyce Carol Oates,
Weaving Sundown in a Scarlet Light,Joy Harjo,
The Tain,Thomas Kinsella,
Aphrodite Made me do it,Trista Mateer,
Beowulf,Samus Heaney,
Beowulf,Samus Heaney,
Beowulf,Burton Raffel,
"Hildure, Queen of the Elves, and other Icelandic Legends",J.M. Bedell,
Song of the Sparrow,Lisa Ann Sandell,
Song of the Sparrow,Lisa Ann Sandell,
Gilgamesh,Stephen Mitchell,
Metamorphoses,Rolf Humphries,
The Inferno of Dante,Robert Pinsky,
Spoon River Anthology,Edgar Kee Nasters,
The Odyssey,Homer,
Envelope Poems,Emily Dickinson,
A History of Modern Poetry,David Perkins,
Faust,Johann Wolfgang von Goethe,
Wordsworth's Poetry and Prose,William Wordsworth,
Paradise Lost,John Milton,
Greek Myths,Charlotte Higgins,
Mythology,Edith Hamilton,
John Donne's Poetry,John Donne,
Gods and Heroes,Korwin Briggs,
"Gods, Heroes, and Monsters ",Carolina Lopez-Ruiz,
The Iliad,Homer,
The Secrets of the Universe in 100 Symbols,Sarah Bartlett,
Jane Eyre,Charlotte Bronte,
Watership Down,Richard Adams,
The Awakening,Kate Chopin,
Emma,Jane Austen,
Nothing Like the Sun,Anthony Burgess,
A Clockwork Orange,Anthony Burgess,
Music for Torching,A.M. Homes,
Ficciones ,Jorge Luis Borges,
The Great Gatsby,F. Scott Fitzgerald,
Emma,Jane Austen,
The Catcher in the Rye,J.D. Salinger,
The Catcher in the Rye,J.D. Salinger,
Franny and Zooey,J.D. Salinger,
Their Eyes were Watching God,Zora Neale Hurston,
Their Eyes were Watching God,Zora Neale Hurston,
The long Valley,John Steinbeck,
The Pearl,John Steinbeck,
The Winner of our Discontent,John Steinbeck,
TOrtilla Flat,John Steinbeck,
The Wayward Bus,John Steinbeck,
The Pearl,John Steinbeck,
The Grapes of Wrath,John Steinbeck,
Bound for Oregon,Van Leeuwen,
The Smugglers,Iain Lawrence,
The Wreckers,Iain Lawrence,
The Wreckers,Iain Lawrence,
New Boy,Tracy Chevalier,
THe Tempest,William Shakespeare,
Cannery Row,John Steinbeck,
The Pearl,John Steinbeck,
Cannery Row,John Steinbeck,
East of Eden,John Steinbeck,
Cat's Cradle,Kurt Vonnegut,
Skinny Legs and All,Tom Robbins,
Even Cowgirls get the blues,Tom Robbins,
The true Confessions of Charlotte Doyle,Avi,
Parot In the Oven,Victor Martinez,
The Once and Future King,T.H. White,
Harry Cat's Pet Puppy,George Selden ,
Music for Torching,A.M. Homes,
Still Life With Woodpecker,Tom Robbins,
Queen's Own Fool,Jane Volen & Robert Harris,
The Called Us Enemy,George Takei,
House of Leaves,Mark Z. Danielewski,
Telegraph Avenue,Michael Chabron,
Little Fires Everywhere,Celeste Ng,
The Hours,Michael Cunningham,
Brief Interviews with Hideou Men,David Foster Wallace,
Freedom,Johnathan Franzen,
Erotic Stories for Punjabi Widows,Balli Kaur Jaswal,
The Elegance of The Hedgehog,Muriel Barbery,
The Amazing adventures of Kavalier & Clay,Michael Chabon,
A lion among men,Gregory Maguire,
Wicked,Gregory Maguire,
Son of A Witch,Gregory Maguire,
Faerie Wars,Herbie Brennan,
The Iliad,Homer,
Enchantment,Orson Scott Card,
Enchantment,Orson Scott Card,
The Silver Chair,C.S. Lewis,
The Lion The WItch and The Wardrobe,C.S. Lewis,
Prince Caspian,C.S. Lewis,
Legacy & Spellbound,Nancy Holder,
Resurrection,Nancy Holder,
Savvy,Ingrid Law,
Scumble ,Ingrid Law,
Redwall,Brian Jacques,
Redwall,Brian Jacques,
The Amber Spyglass,Philip Pullman,
The Subtle Knife,Philip Pullman,
The Book of Dust,Philip Pullman,
The Subtle Knife,Philip Pullman,
Burning Bright,Tracy Chevalier,
The Wangs Vs. The World,Jade Chang,
The Chosen ,Chaim Potok,
The Lightning Thief,Rick Riordan,
The Sea of Monsters,Rick Riordan,
The Titans Curse,Rick Riordan,
The Battle of the Labyrinth,Rick Riordan,
The Last Olympian,Rick Riordan,
The Sea of Monsters,Rick Riordan,
The Titans Curse,Rick Riordan,
The Battle of the Labyrinth,Rick Riordan,
The Last Olympian,Rick Riordan,
The Lost Hero,Rick Riordan,
The Son Of Neptune,Rick Riordan,
The Red Pyramid,Rick Riordan,
The Red Pyramid,Rick Riordan,
The Throne of Fire,Rick Riordan,
The Throne of Fire,Rick Riordan,
The Amber Spyglass,Philip Pullman,
The Subtle Knife,Philip Pullman,
The Golden Compass,Philip Pullman,
The Amber Spyglass,Philip Pullman,
The Subtle Knife,Philip Pullman,
The Golden Compass,Philip Pullman,
The Goose Girl,Shannon Hale,
River Secrets,Shannon Hale,
Enna Burning,Shannon Hale,
Peter and the Secret of Rundoon,Ridley Pearson,
Peter and the Secret of Rundoon,Ridley Pearson,
Peter and the Shadow Thieves,Ridley Pearson,
Peter and the StarCatchers,Ridley Pearson,
Dateline Troy,Paul Fleischman,
Beatrice and Virgil,Yann Martel,
The Readers of Broken Wheel Recommend,Katarina Bivald,
Bamboo Among the Oaks,Mai Neng Moua,
The Absolutely True Diary of A Part-Time Indian,Sherman Alexie,
The absolutely True Diary of A Part-Time Indian,Sherman Alexie,
Infinite Life,Robert Thurman,
For Colored girls who have considered suicide/when the rainbow is enuf,Ntozake Shange,
A Step From Heaven,An Na,
Daisy Jones & The Six,Taylor Jenkins Reid,
Empire Falls,Richard Russo,
Paradise Lost & Paradise Regained,John Milton,
Shoot THe Moon,Billie Letts,
Small Wonder,Barbara Kingsolver,
"Tommorow, when the war began",John Marsden,
Where The Red Fern Grows,Wilson Rawls,
Tuesdays with Morrie,Mitch Albom,
THe Woman Warrior,Maxine Hong Kingston,
THe Kitched God's Wife,Amy Tan,
Independence Day,Richard Ford,
Crispin The Cross of Lead,Avi,
True History of The Kelly Gang,Peter Carey,
Around the World In Eighty Days,Jules Verne,
The Boys in the Boat,Daniel james Brown,
The Age of Innocence,Edith Wharton,
One Day in the life of Ivan Denisovich,Alexander Solzhenitsyn,
The Pearl,John Steinbeck,
The Pearl,John Steinbeck,
Fallen Angels,Walter Dean Myers,
The Buccaners,Iain Lawrence,
The Sea-Wolf,Jack London,
A Tree Grows in Brooklyn,Betty Smith,
The absolutely True Diary of A Part-Time Indian,Sherman Alexie,
Malcom X By Any means necessary,Walter Dean Myers,
"20,000 Leagues Under the Sea",Jules Verne,
The Taming of the Shrew,William Shakespeare,
Julius Caesar,William Shakespeare,
The Taming of the Shrew,William Shakespeare,
Nectar in a Sieve,Kamala Markandaya,
As You Like It,William Shakespeare,
Richard III,William Shakespeare,
The Taming of the Shrew,William Shakespeare,
"Catherine, Called Biroy",Karen Cushman,
Of Mice and Men,John Steinbeck,
To Kill A Mocking Bird,Harper Lee,
The Catcher in the Rye,J.D. Salinger,
The Poisonwood Bible,Barbara Kingsolver,
THe Pleasing Hour,Lily King,
Monkey,Wu Ch'Eng-en,
The Sound and The Fury,William Faulkner,
A HEartbreaking Work of Staggering Genius,Dave Eggers,
Darcy's Great Escape,Marsha Altman,
The Safety of Objects,A.M. Homes,
Rama the Steadfast,Valmiki,
Heart of Darkness,Joseph Conrad,
The Chosen ,Chaim Polok,
The Mill on the Floss,George Eliot,
Madame Bovary,Gustave Flaubert,
Sense and Sensibility,Jane Austen,
You can't go Home again,Thomas Wolfe,
A Thousand Ships,Natalie Haynes,
The Final Solution,Michael Chabon,
Breakfast at Tiffany's ,Truman Capote ,
Papilon,Henri Charriere,
Pride and Prejudice,Jane Austen,
The Henna Artist,Alka Joshi,
One Hundred Years of Solitude,Gabriel Garcia Marquez,
Hang a Thousand Trees with ribbon,Ann Rinaldi,
Siddhartha,Herman Hesse,
Colorless Tsukuru Tazaki and his years of pilgrimage,Haruki Murakami,
Annihilation,Jeff Vandermeer,
No Longer Human,Osman Dazai,
To Kill A Mocking Bird,Harper Lee,
Demian,Herman Hesse,
